Word,Count
/,1347
the,559
<summary>,361
</summary>,361
to,196
a,190
of,187
<param,170
class,84
this,81
<see,71
is,65
and,64
Gets,62
or,62
for,61
with,57
<returns></returns>,55
new,55
be,53
if,52
instance,49
an,46
by,45
assembly,45
method,40
code,39
not,38
in,34
command,34
Initializes,33
string,32
part,31
from,31
resources,31
The,30
Version,28
Required,28
type,28
information,27
console,27
file,27
following,27
any,26
resource,26
on,26
all,26
color,25
should,24
Get,24
input,23
up,23
default,23
modify,23
line,23
------------------------------------------------------------------------------,22
This,22
used,22
was,21
Write,21
values,21
Set,21
job,21
set,20
can,20
Add,20
user,20
sets,19
value,19
array,19
being,18
tool,18
ComVisible,18
Build,18
attribute,18
you,18
Revision,18
COM,18
that,17
using,17
Create,17
as,17
,16
Remove,16
name,16
column,16
screen,16
project,16
collection,16
through,16
entry,16
do,15
contents,15
associated,15
commands,15
item,15
Clean,15
ID,15
sure,14
your,14
support,14
managed,14
variable,14
current,14
\otherwise,\,14
editor,14
ResGen,14
false.</param>,14
disposed;,14
will,14
into,14
designer,14
then,14
Designer,14
Make,14
-,14
\name="\disposing"\>true\,14
within,13
GUID,13
items,13
amount,12
each,12
search,12
property,12
components,12
\name="\input"\></param>\,12
dates,12
may,12
Represents,11
remove,11
pieces,11
lost,11
</auto-generated>,11
regenerated,11
Changes,11
behavior,11
order,11
incorrect,11
table,11
about,11
generated,11
Runtime,11
cause,11
Version:4.0.30319.42000,11
<auto-generated>,11
shown,10
one,10
\AssemblyVersion("\1.0.*"\)]\,10
need,10
special,10
false,10
types,10
General,10
element,10
If,10
add,10
You,10
[assembly:,10
Information,9
visible,9
Setting,9
\name="\text"\></param>\,9
when,9
Save,9
\name="\args"\></param>\,9
access,9
true,9
specify,9
controlled,9
Major,9
Minor,9
values:,9
attributes,9
consists,9
output,9
below:,9
result,9
Change,9
exposed,9
Numbers,9
makes,9
\COM,\,9
four,9
Number,9
arguments,9
edit,9
these,9
'*',9
typelib,9
v0.3,8
based,8
A,8
start,8
receiver,8
return,8
whether,8
object,8
selected,8
label1,8
localized,8
Returns,8
library,8
rebuild,7
via,7
.ResX,7
\strings,\,7
\name="\e"\></param>\,7
box,7
etc,7
typed,7
Reset,7
rerun,7
VS,7
indicating,7
looking,7
Visual,7
cached,7
\class,\,7
CurrentUICulture,7
Overrides,7
=,7
auto-generated,7
have,7
Studio,7
To,7
like,7
found,7
ResourceManager,7
\option,\,7
StronglyTypedResourceBuilder,7
thread's,7
Execute,7
length,7
\member,\,7
Adds,7
lookups,7
strongly,7
strongly-typed,7
/str,7
No,7
provided,6
size,6
strings,6
Row,6
executed,6
app,6
key,6
Replace,6
so,6
=>,6
owner,6
\name="\sender"\></param>\,6
*,6
\cref="\Receiver"\/>\,6
Try,6
get,6
point,6
files,6
database,6
Longest,6
Load,6
format,6
row,5
description,5
find,5
event,5
elements,5
longer,5
Return,5
exist,5
collected,5
error,5
quote,5
Retrieve,5
Helpful,5
number,5
create,5
created,5
parts,5
Initialize,5
Name,5
longest,5
main,5
An,5
them,5
jobs,5
at,5
XML,5
top,4
required,4
Color,4
updating,4
XmlSerializer,4
coded,4
before,4
use,4
Draw,4
Unable,4
application,4
<{COLOR}>,4
boxes.</param>,4
Break,4
called,4
events,4
there,4
save,4
\name="\foreColor"\></param>\,4
wants,4
spaces,4
path,4
uses,4
HTML,4
\name="\filePath"\></param>\,4
further,4
we,4
Use,4
boxes,4
first,4
connection,4
convert,4
\name="\values"\></param>\,4
loop,4
label2,4
Clear,4
structure,4
has,4
last,4
Ask,4
entries,4
does,4
Part,4
next,4
Handles,4
returns,4
no,4
Ignore,4
manufacture,4
argument,4
options,4
info,4
colorCode,4
desired,4
it,4
exists,4
Console,4
already,4
Dispose,4
data,4
\name="\settings"\></param>\,4
Constants,3
Repository,3
call,3
exception,3
document,3
label4,3
editing,3
Split,3
panel,3
settings,3
entire,3
objects,3
Scroll,3
formatted,3
Manages,3
Holds,3
button2,3
Default,3
\name="\names"\></param>\,3
\name="\name"\></param>\,3
count,3
only,3
window,3
rows,3
two,3
button1,3
Controls,3
Process,3
duplicate,3
\cref="\PackerConsole"\/>\,3
\name="\dates"\></param>\,3
than,3
\cref="\AppSettings"\/>\,3
{,3
text,3
notes,3
body,3
existing,3
trying,3
\cref="\https://stackoverflow.com/questions/5646820/logger-wrapper-best-practice/5646876#5646876"\/>\,3
label3,3
Job,3
IO,3
Helps,3
\cref="\Part"\/>\,3
divider,3
Max,3
operation,3
sort,3
Command,3
stack,3
\name="\columns"\></param>\,3
ignore,3
inventory,3
Error,3
\name="\obj"\></param>\,3
var,3
sent,3
upon,3
textbox,3
\cref="\ConsoleTable"\/>\,3
presented,3
present,3
Loop,3
program,3
everything,3
\console,\,3
Extract,3
Invoke,3
sorting,3
which,3
Sen,3
parameter,3
Run,3
abstract,2
bounds,2
Input,2
matches,2
Called,2
\name="\partName"\></param>\,2
enter,2
\name="\boxes"\>Amount\,2
\name="\question"\></param>\,2
handler,2
simple,2
state,2
it's,2
menuStrip1,2
.Union(Columns),2
On,2
FUCK,2
time,2
\Resources.About.Replace("\{VERSION}"\,\,2
children,2
Push,2
\cref="\ReceiverItem"\/>\,2
\name="\manuDates"\>Manufacture\,2
menu,2
\cref="\BitMapperEditor"\/>\,2
(The,2
draw,2
part)</param>,2
colors,2
\name="\boxCount"\></param>\,2
setting,2
without,2
<remarks>OLD,2
custom,2
\cref="\CommandInput"\/>\,2
different,2
App,2
been,2
(must,2
display,2
\name="\repository"\>Repository\,2
contextMenuStrip1,2
listView1,2
CASE,2
handling,2
\name="\format"\></param>\,2
\method,\,2
date,2
Tell,2
;-;,2
Special,2
/&gt;,2
SOMETHING,2
repository,2
log,2
execute,2
\cref="\DateTime"\/>\,2
Receiver,2
aboutToolStripMenuItem,2
Rows.Select(x,2
needed,2
throw,2
documents,2
columns,2
marks,2
Do,2
fail,2
.ToList();,2
version,2
export.</param>,2
Start,2
editToolStripMenuItem,2
responce,2
copy,2
\name="\libraryName"\>Name\,2
Find,2
\cref="\StackPanel"\/>\,2
organize,2
exporting,2
Full,2
specified,2
columnLengths,2
local,2
retrieve,2
index),2
\.Select((t,\,2
Read,2
boxcount,2
Guid,2
question,2
Allow,2
Append,2
\cref="\ReceiverEntry"\/>\,2
sends,2
static,2
Jobs,2
what,2
'Enter',2
template,2
x.ToString().Length).Max()),2
Convert,2
compare,2
currently,2
viewToolStripMenuItem,2
\cref="\MethodCommand"\/>\,2
Show,2
removeSelectedToolStripMenuItem1,2
Increase,2
Logs,2
work,2
holder,2
Buffer,2
\name="\font"\></param>\,2
Converts,2
label6,2
belong,2
end,2
TYPE</remarks>,2
pressing,2
edited,2
\WAY,\,2
more,2
\name="\g"\></param>\,2
UP,2
Packing,2
04.14.2018,2
tags,2
original,2
handle,2
creating,2
presses,2
action,2
LogHandler.LogError(e);,2
depth,2
write,2
click,2
\name="\foreground"\></param>\,2
Export,2
\name="\boxCount"\>Amount\,2
alkonInventory,2
Inspect,2
WE,2
panel1,2
list,2
\name="\partId"\>Part\,2
executing,2
\cref="\Note"\/>\,2
\name="\handler"\></param>\,2
Contains,2
Children,2
drawed,2
\name="\output"\></param>\,2
\name="\flag"\></param>\,2
Date:,2
Packaging,2
starting,2
can't,2
split,2
Executes,2
Events,2
methods,2
unique,2
Total,2
lines,2
versionToolStripMenuItem,2
x[i]),2
Invokes,2
label5,2
message,2
.Select(x,2
helpToolStripMenuItem,2
logic,2
total,2
addToolStripMenuItem,2
some,2
receivers,2
Properties,2
nested,2
\cref="\XmlExportCommand"\/>\,2
button3,2
Output,2
i),2
editSelectedToolStripMenuItem,2
Nothing,2
Maybe,2
closeToolStripMenuItem,2
IN,2
LvSearch,2
Update,2
helps,2
\cref="\PackerConsoleWin"\/>\,2
Did,2
active,2
quotation,2
in.</param>,2
are,2
Path,2
Method,2
note,2
\selected,\,2
MethodInfo,2
box.</param>,2
store,2
element.</param>,2
fileToolStripMenuItem,2
\cref="\Job"\/>\,2
normal,2
apply,2
Columns,2
removeSelectedToolStripMenuItem,2
buffer,2
OLD,2
button4,2
index,2
changes,1
DateTime,1
receiver);,1
go,1
after,1
change,1
\"\no"\\,1
allow,1
foreground,1
\cref="\CustomCommand"\/>\,1
partBoxDirTB,1
\example,\,1
indexs,1
Register,1
(for,1
avoid,1
place,1
collectin,1
simplicity,1
lists,1
\name="\part"\>Part.</param>\,1
Conventions,1
\name="\connectionString"\></param>\,1
\cref="\CommandHandler"\/>\,1
\cref="\CommandAttribute"\/>\,1
\name="\requiredQuantity"\>Quantity\,1
5m,1
object[],1
restore,1
combine,1
correct,1
process,1
later,1
flag,1
infront,1
\typeof(XmlHelper).GetMethod("\DeserializeObj"\);\,1
replace,1
Directory,1
Exports,1
hold,1
rectangle,1
Calculate,1
\name="\receiverId"\></param>\,1
answer,1
spacing,1
label9,1
Width,1
UI,1
function,1
DescendingRBTN,1
\cref="\IScreen"\/>\,1
typeof(DefaultCommands).Name);,1
textBox1,1
Time,1
Description,1
&lt;style&gt;,1
\name="\receiver"\></param>\,1
increase,1
\name="\methodName"\>[OPTIONAL]\,1
know,1
Last,1
label8,1
Recreate,1
Form1,1
HomePanel,1
managing,1
\cref="\UnitOfWork"\/>\,1
Desired,1
Main,1
serialized,1
manuDates,1
border:,1
EntryForm,1
(Invalid,1
added,1
determine,1
\arial,\,1
Writes,1
Breif,1
\name="\initialQuantity"\>Quantity\,1
Pen,1
remarks,1
groupBox3,1
\cref="\Initialize"\/>\,1
partParentIDTb,1
