File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\BitMapperEditor.cs,181,130,86,12,37,0,14,59,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\BitMapperEditor.Designer.cs,48,27,15,1,7,0,14,55,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\ImageDocument.cs,25,21,15,0,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\Program.cs,23,18,11,0,2,0,3,12,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\Settings.cs,13,11,7,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\UIElements\DrawableElement.cs,56,26,18,0,7,0,23,93,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\UIElements\TextElement.cs,60,50,31,1,10,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\CommandHandler.cs,131,88,55,5,19,1,24,118,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\CommandHistory.cs,17,15,9,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\CommandInput.cs,137,75,44,11,20,0,42,261,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\CommandProcessor.cs,131,79,51,12,20,0,32,165,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Attr\CommandAttribute.cs,27,23,14,0,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Attr\CommandLibraryAttribute.cs,23,17,10,0,3,0,3,18,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Attr\IgnoreCommandAttribute.cs,25,16,10,0,2,0,7,38,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands\CommandArgs.cs,32,27,15,1,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands\CommandResult.cs,45,35,22,1,10,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands\CommandResultType.cs,13,12,3,0,1,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands\CustomCommand.cs,72,38,26,1,9,0,25,92,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands\ICommand.cs,18,15,11,0,3,0,0,0,0,0
