Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,216,16835,11846,7427,1111,2636,23,2353,9076,0,11
E:\Documents\Projects\Software Projects\AlkonProjects,216,16835,11846,7427,1111,2636,23,2353,9076,0,11
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper,10,546,356,208,18,89,2,101,488,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\Properties,3,140,73,25,4,20,2,47,269,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\UIElements,2,116,76,49,1,17,0,23,93,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\BitMapper\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib,19,1197,784,471,75,181,1,232,1204,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Attr,3,75,56,34,0,9,0,10,56,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands,7,489,333,203,35,84,0,72,306,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Commands\Default,1,84,59,39,9,20,0,5,30,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Exceptions,1,32,27,12,0,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Helpers,3,148,96,60,12,17,0,35,178,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\Properties,1,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib_Testing,4,178,131,70,9,26,0,21,129,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib_Testing\Abstract Commands,1,34,29,17,1,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib_Testing\Properties,1,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib_Testing\Static Commands,1,52,44,22,4,8,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib_Testing\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\CommandHandlerLib_Testing\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\EntityRepository,3,125,102,64,5,23,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel,18,1019,763,447,58,169,1,87,352,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console,63,4921,3500,2124,398,904,8,517,2084,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands,11,1124,855,507,156,241,0,28,102,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\Commands,4,154,113,81,6,33,0,8,46,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Controls,2,119,94,61,2,23,0,2,6,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Properties,2,101,48,20,3,14,1,39,239,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens,6,356,216,141,7,59,0,81,321,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\Screens,2,69,57,37,0,12,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Windows,4,121,86,50,2,13,0,22,108,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old,23,1548,1147,721,141,303,6,98,408,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands,21,1273,980,617,129,267,0,26,110,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old,16,693,548,354,56,143,0,2,18,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old2,5,580,432,263,73,124,0,24,92,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands,7,305,241,156,29,63,0,1,9,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands,6,278,222,139,27,55,0,1,9,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old,10,1335,889,531,84,212,1,234,844,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Extensions,2,161,127,69,14,28,0,6,20,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\__old\Helpers,1,129,84,44,11,18,1,27,115,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core,23,1050,743,425,32,172,5,135,671,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain,15,831,595,329,29,140,4,96,432,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Domain\V3,4,103,76,54,0,15,0,12,80,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Interfaces,5,102,86,66,0,16,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\Properties,2,101,48,20,3,14,1,39,239,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Core\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog,9,786,546,397,18,82,2,158,455,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\Properties,3,140,73,25,4,20,2,47,269,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\obj,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.DailyLog\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole,28,2626,1929,1166,241,490,2,207,862,0,2
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands,9,1081,824,490,154,229,0,28,102,0,0
